POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
12000,838.2,2108.71,2561.3,255.47,128.65,-60.66,-1906.39,-14319.4,844.68,9381.18,-3322.61,64.99,0.0,-168.26,-3257.62,-3425.88
12001,887.55,2028.45,2551.72,257.71,143.92,-49.52,-1902.25,-14436.35,850.08,9366.24,-3231.38,63.15,0.0,-302.45,-3168.22,-3470.67
12002,905.0,2078.22,2576.78,271.83,124.19,-61.01,-1894.96,-14503.44,875.27,9466.95,-3221.38,63.26,0.0,-161.16,-3158.12,-3319.28
12003,875.59,2095.3,2580.57,261.23,125.61,-61.19,-1951.78,-14413.33,863.4,9412.37,-3249.38,63.53,0.0,-212.23,-3185.85,-3398.08
12004,859.12,2067.97,2580.0,264.84,145.82,-42.61,-1915.51,-14527.66,864.63,9459.75,-3180.55,63.75,0.0,-243.65,-3116.8,-3360.45
12005,883.39,2114.27,2523.08,267.81,124.41,-64.07,-1851.53,-14549.14,867.21,9398.9,-3185.6,64.53,0.0,-285.66,-3121.07,-3406.74
12006,888.26,2089.64,2521.09,283.75,132.55,-52.73,-1914.12,-14488.32,855.09,9435.8,-3211.35,64.73,0.0,-249.0,-3146.62,-3395.62
12007,884.76,2106.62,2575.44,258.35,126.88,-66.44,-1927.43,-14569.79,815.99,9464.36,-3149.4,63.81,0.0,-331.25,-3085.59,-3416.85
12008,904.08,2053.72,2555.52,256.86,121.5,-63.66,-1921.72,-14604.38,867.85,9407.14,-3098.02,62.33,0.0,-423.1,-3035.69,-3458.79
12009,853.43,2096.96,2539.45,257.09,123.45,-47.36,-1904.41,-14601.67,853.19,9471.85,-3141.02,63.31,0.0,-358.02,-3077.71,-3435.73
12010,883.53,2120.25,2586.53,276.56,141.48,-63.1,-1928.18,-14460.03,831.71,9403.53,-3193.26,63.2,0.0,-207.72,-3130.06,-3337.78
12011,900.82,2055.81,2565.05,272.94,136.69,-69.22,-1898.55,-14416.42,863.93,9390.15,-3211.86,64.28,0.0,-198.79,-3147.58,-3346.37
12012,916.29,2024.27,2543.66,262.76,129.91,-62.68,-1911.73,-14521.67,845.99,9458.19,-3198.79,63.62,0.0,-315.03,-3135.16,-3450.19
12013,888.74,2035.32,2543.35,255.48,155.35,-56.0,-1906.82,-14396.63,869.01,9391.73,-3235.78,63.46,0.0,-220.47,-3172.32,-3392.79
12014,883.86,2059.83,2500.43,258.38,125.3,-54.6,-1922.43,-14444.89,867.2,9437.3,-3248.83,64.26,0.0,-289.63,-3184.57,-3474.2
12015,876.79,2068.15,2562.82,247.1,130.52,-52.48,-1899.39,-14441.36,870.66,9391.73,-3230.88,63.87,0.0,-245.45,-3167.0,-3412.45
12016,865.87,2065.25,2547.07,258.1,138.56,-62.55,-1931.68,-14286.61,852.09,9323.26,-3268.64,64.35,0.0,-230.63,-3204.29,-3434.92
12017,881.27,1977.6,2536.05,252.27,150.79,-59.86,-1865.22,-14451.54,872.8,9420.24,-3260.65,64.59,0.0,-285.59,-3196.06,-3481.65
12018,936.45,2091.54,2529.87,263.79,135.21,-67.19,-1909.6,-14510.89,831.46,9435.6,-3195.7,65.13,0.0,-263.76,-3130.57,-3394.34
12019,857.84,2056.4,2547.94,256.02,140.42,-60.65,-1912.86,-14519.92,867.68,9376.54,-3135.87,64.59,0.0,-390.58,-3071.28,-3461.87
12020,874.61,2065.64,2545.76,258.21,155.17,-63.38,-1873.0,-14407.71,887.25,9386.0,-3291.56,64.15,0.0,-171.45,-3227.41,-3398.86
12021,892.92,2010.77,2505.46,259.54,113.01,-39.56,-1882.05,-14378.67,860.68,9407.54,-3279.67,64.85,0.0,-250.35,-3214.82,-3465.16
12022,860.64,2084.66,2551.8,269.71,123.99,-63.61,-1910.32,-14343.01,876.29,9387.48,-3252.33,64.39,0.0,-162.39,-3187.94,-3350.32
12023,900.32,2111.85,2537.27,273.59,127.81,-50.56,-1890.0,-14335.93,854.64,9375.5,-3287.45,63.97,0.0,-95.5,-3223.48,-3318.99
