Ligand	Dockthor	AutoDock	iGEMDOCK
1	-8.53	-5.80	-63.62
10	-9.23	-7.12	-70.53
11	-8.06	-5.28	-66.95
12	-8.46	-4.43	-65.48
13	-8.34	-5.48	-72.58
14	-9.28	-7.59	-61.93
15	-8.48	-5.26	-67.68
16	-8.62	-6.15	-65.75
17	-8.76	-5.47	-76.56
18	-8.30	-5.26	-61.06
19	-8.56	-5.42	-74.42
2	-9.24	-7.22	-70.18
20	-8.55	-5.89	-74.43
21	-8.61	-5.06	-59.91
22	-8.79	-6.38	-60.83
23	-8.24	-6.13	-61.70
24	-8.26	-6.01	-61.10
25	-10.01	-8.29	-65.89
26	-8.18	-5.26	-67.60
27	-8.85	-6.16	-54.87
28	-8.43	-5.41	-68.27
29	-9.32	-6.96	-67.66
3	-8.58	-6.09	-61.72
30	-9.49	-8.89	-86.13
31	-8.33	-5.26	-59.55
32	-8.24	-5.12	-66.22
33	-8.14	-5.60	-66.07
34	-9.10	-6.52	-71.36
35	-9.09	-6.51	-62.24
36	-8.97	-6.18	-73.45
37	-8.10	-5.56	-66.94
38	-8.82	-6.21	-76.60
39	-8.23	-5.28	-75.04
4	-8.56	-5.95	-56.20
40	-8.52	-7.07	-69.53
41	-10.06	-9.42	-82.40
42	-7.86	-7.01	-68.91
43	-7.97	-5.06	-65.30
44	-8.18	-5.43	-68.58
45	-8.53	-5.55	-68.82
46	-8.82	-5.76	-66.72
47	-8.62	-6.91	-69.76
48	-9.17	-7.08	-66.57
49	-8.65	-6.83	-62.33
5	-8.14	-5.34	-62.36
50	-9.09	-6.48	-65.49
51	-8.78	-5.96	-72.40
52	-8.08	-5.23	-73.86
53	-8.64	-6.04	-72.90
54	-8.18	-6.54	-70.72
55	-9.43	-8.88	-85.49
56	-8.46	-5.76	-68.11
57	-8.26	-5.55	-68.44
58	-8.80	-6.24	-72.63
59	-8.39	-5.05	-74.95
6	-8.93	-6.42	-64.67
60	-8.42	-5.70	-64.45
61	-8.12	-5.31	-63.09
62	-8.97	-6.71	-78.34
63	-9.94	-8.41	-77.13
64	-9.78	-8.82	-73.99
65	-8.20	-5.74	-62.28
66	-9.08	-6.57	-65.32
67	-8.61	-7.18	-71.52
68	-8.26	-5.82	-64.13
69	-9.38	-6.62	-65.50
7	-8.47	-5.23	-62.75
70	-9.18	-7.13	-68.37
71	-8.86	-6.08	-56.28
72	-8.82	-7.25	-74.44
73	-8.16	-5.67	-73.38
74	-8.78	-6.70	-79.26
75	-8.16	-5.18	-61.43
76	-8.09	-5.37	-61.91
77	-8.83	-6.43	-69.93
78	-8.94	-6.64	-77.25
79	-7.19	-7.90	-70.39
8	-9.96	-8.29	-64.59
80	-8.47	-5.26	-68.02
81	-8.66	-6.14	-64.01
82	-8.76	-6.43	-63.62
83	-8.24	-6.01	-66.33
84	-7.92	-5.86	-66.45
85	-8.20	-7.97	-68.96
86	-8.73	-5.71	-66.84
87	-8.39	-6.37	-66.16
88	-8.05	-5.72	-65.82
9	-7.79	-5.80	-65.63
